id_imovel,nome,host_id,host_nome,bairro,latitude,longitude,tipo,preco,noites_minimas,numero_reviews,ultima_review,reviews_por_mes,hosts_qtd,disponibilidade,reviewss_ultimo_mes
13747449,Rental unit in Rio de Janeiro · 4.50 · 2 bedrooms · 2 beds · 1 bath,80513515,Julio,Centro,-22.91348,-43.18356,Entire home/apt,549.5368888888889,4.0,16,2023-01-02,0.18,1,0,1
13706201,Rental unit in Rio de Janeiro · 4.88 · 2 bedrooms · 2 beds · 2 baths,10662922,Natalia,Recreio dos Bandeirantes,-23.01485,-43.46713,Entire home/apt,962.8882455124493,4.0,8,2022-03-02,0.09,1,0,0
13659112,Rental unit in Rio de Janeiro · 4.96 · 1 bedroom · 1 bed · 1 bath,59061670,Jairo,Ipanema,-22.98798,-43.19109,Entire home/apt,1726.5436160579536,30.0,53,2021-07-27,0.59,1,0,0
13781432,Home in Rio de Janeiro · 4.50 · 1 bedroom · 1 bed · 1 shared bath,80916123,Daniele,Tomás Coelho,-22.86509,-43.30878,Private room,142.4,1.0,4,2023-08-18,0.04,1,0,2
13714235,Rental unit in Rio de Janeiro · 4.38 · 1 bedroom · 4 beds · 1 bath,76998433,Maria Inês,Copacabana,-22.98261,-43.19259,Entire home/apt,1311.7262280953748,6.0,8,2022-03-01,0.09,1,0,0
13733017,Rental unit in Rio de Janeiro · 4.86 · 1 bedroom · 1 bed · 2 baths,79736850,Juliana,Jacarepaguá,-22.97187,-43.39571,Entire home/apt,785.2956685499058,1.0,7,2017-09-25,0.08,1,0,0
13746764,Serviced apartment in Rio de Janeiro · 4.42 · 1 bedroom · 1 bed · 1 bath,57197027,Romulo,Barra da Tijuca,-23.01021,-43.36779,Entire home/apt,1350.8451882845188,2.0,19,2023-01-30,0.25,1,0,2
13953714,Rental unit in Rio de Janeiro · 4.50 · 2 bedrooms · 3 beds · 2 baths,83052818,Claudio,Jacarepaguá,-22.9693,-43.38566,Entire home/apt,785.2956685499058,7.0,4,2021-01-06,0.04,1,0,0
13867877,Rental unit in Rio de Janeiro · 4.67 · 2 bedrooms · 3 beds · 3 baths,80988015,Angela,Barra da Tijuca,-23.00181,-43.43031,Entire home/apt,1350.8451882845188,2.0,3,2016-08-22,0.03,1,0,0
13926723,Home in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 bath,21482982,Glauco,Humaitá,-22.95272,-43.19841,Entire home/apt,795.2043010752689,27.0,13,2023-08-10,0.14,3,0,1
13935798,Rental unit in Rio de Janeiro · 4.83 · 1 bedroom · 1 bed · 2 shared baths,33163297,Cris,Santa Teresa,-22.92115,-43.18109,Private room,748.8612132352941,3.0,6,2023-02-25,0.29,1,0,3
13941265,Rental unit in Barra da Tijuca · 4.88 · 1 bedroom · 1 bed · 1 bath,82919231,Dalmo,Barra da Tijuca,-23.00913,-43.352,Entire home/apt,1350.8451882845188,7.0,17,2023-06-25,0.19,2,0,3
13980511,Rental unit in Rio de Janeiro · 4.73 · 1 bedroom · 1 bed · 1 bath,34475270,Bruna,Glória,-22.92388,-43.17198,Entire home/apt,980.5836575875486,8.0,15,2021-11-27,0.17,2,0,0
14092001,Rental unit in Rio de Janeiro · 4.0 · 2 bedrooms · 3 beds · 2 baths,6769387,Paula,Jacarepaguá,-22.97014,-43.39352,Entire home/apt,785.2956685499058,3.0,3,2020-11-19,0.03,1,0,0
14058258,Rental unit in Rio de Janeiro · 4.50 · 1 bedroom · 1 bed · 1 bath,84365054,Mauricio,Leme,-22.96275,-43.16641,Entire home/apt,1059.6032934131736,1.0,12,2023-02-20,0.13,1,0,1
14074253,Condo in Rio de Janeiro · 4.0 · 1 bedroom · 2 beds · 2 baths,84520862,Roberta,Ipanema,-22.98662,-43.20215,Entire home/apt,1726.5436160579536,3.0,6,2023-05-02,0.13,1,0,2
14137632,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 shared bath,46870462,Helena,Camorim,-22.9771,-43.41688,Private room,569.8497316636851,3.0,4,2022-09-05,0.04,1,0,0
14138939,Rental unit in Rio de Janeiro · 4.96 · 2 bedrooms · 2 beds · 2 baths,72743061,Lucas,Jacarepaguá,-22.97163,-43.3945,Entire home/apt,785.2956685499058,1.0,25,2023-05-29,0.28,1,0,11
14211191,Rental unit in Copacabana · 4.99 · 2 bedrooms · 4 beds · 3 baths,37832787,Luiz,Copacabana,-22.97598,-43.18752,Entire home/apt,1311.7262280953748,2.0,103,2021-02-22,1.22,1,0,0
14211244,Rental unit in Rio de Janeiro · 3.67 · 2 bedrooms · 2 beds · 1 bath,21171210,Marcelo,Leblon,-22.98241,-43.21657,Entire home/apt,1547.7930614729155,2.0,3,2018-01-06,0.04,1,0,0
14177256,Rental unit in Rio de Janeiro · 5.0 · 1 bedroom · 1 bed · 1 private bath,85851597,Gilma,São Francisco Xavier,-22.90766,-43.23766,Private room,522.8095238095239,2.0,45,2018-06-17,0.5,1,0,0
